ID,CharacterName,DialogueText,Position,Expression,Effect,Duration,NextID,Background,BGM,SFX
11,그라크,...우리는... 싸우고 싶지 않다. 그냥... 살고 싶다. 우리 새끼들이... 태양을 보게 해주고 싶다.,Left,sad,,4,12,잿빛산맥,emotional_moment,
12,아서 레오하트,모두 방어 진형을 갖춰라!,Right,commanding,flash,2,13,잿빛산맥,battle_start,roar
13,그라크,(자신의 부족을 향해 천둥 같은 목소리로) 크아아아아! (싸운다!),Left,fierce,shake,2,14,잿빛산맥_전투,intense_battle,war_cry
14,아서 레오하트,(무너진 성벽 위로 뛰어오르며 목이 터져라 외친다) 에델가르드의 아들딸들아! 보아라! 우리가 괴물이라 불렀던 이들이 지금 우리의 아이들을 위해 피를 흘리고 있다! 저들이 우리를 믿었듯 우리도 저들을 믿는다! 오늘 우리는 종족을 위해 싸우는 것이 아니다! 살아남고자 하는 모든 생명을 위해 싸운다! 길드여 나를 따르라!,Right,inspiring,zoom,7,15,성벽위,heroic_theme,cheering
15,엘리아스 밴스,...이럴 수가... 내 계산이... 완벽했는데...,Left,shocked,shake,3,16,무너진성벽,desperate_moment,crumbling
16,그라크,(엘리아스를 내려다보며) ...우리는... 빚을 갚는다.,Left,noble,,3,17,무너진성벽,turning_point,footsteps
17,엘리아스 밴스,(자신의 통신 장치를 미친 듯이 조작하며) ...데이터가... 부족해... 아니 내가 틀렸어...,Left,desperate,flash,3,18,무너진성벽,realization,beeping
18,엘리아스 밴스,(통신으로 아서에게 외친다) 마스터! 저 괴물 용의 목 아래 푸른 역린이 빛날 때가 있다! 브레스를 뿜기 직전 에너지가 집중되는 순간이야! 그때가 유일한 약점이다!,Left,urgent,flash,4,19,무너진성벽,climax_battle,static
19,아서 레오하트,그라크!!!,Right,anguished,,2,20,최종전투,tragic_moment,roar
20,그라크,...내... 새끼가... 준... 선물... 너에게... 준다... 친구...,Left,dying,fade,4,21,전투후,farewell,silence
21,엘리아스 밴스,...제가 틀렸습니다 마스터. 제 데이터는 생명의 무게를 그리고 신뢰의 가치를 계산하지 못했습니다. 용서해주십시오.,Left,remorseful,,4,22,임시사무실,redemption,
22,아서 레오하트,(그의 어깨를 잡아주며) 용서는 내가 아니라 이 도시를 위해 목숨을 바친 그들에게 구하게. 그리고 자네의 기술로 그들의 희생이 헛되지 않았음을 증명해주게.,Right,wise,,4,23,임시사무실,redemption,
23,리처드 레오하트,아들아. 나는 네게 완벽한 세상을 물려주지 못했다. 하지만 나는 네게 '희망'을 물려주마. 벽을 허물고 서로 다른 존재를 이해하고 손을 내밀 용기를. 언젠가 네가 이 아르테니아의 횃불을 들고 세상의 어둠을 밝히는 날이 올 것이다.,Right,hopeful,,5,24,아르테니아,new_beginning,baby_cry
24,기드온 발레리우스,(아르테니아의 풍경을 보며 예의 바르지만 서늘한 미소로) 참으로 흥미로운 도시로군요 리처드 경. 마치... 동물 우화집의 한 페이지를 보는 것 같습니다.,Left,condescending,,3,25,아르테니아_의회,political_tension,
25,리처드 레오하트,(그의 의도를 파악하고 침착하게) 우리는 이곳을 '가족'이라 부릅니다 기드온 경. 동물 우화가 아니라 함께 쓰는 역사책이지요.,Right,calm,,3,26,아르테니아_의회,political_tension,
26,기드온 발레리우스,훌륭한 이상입니다. 하지만 이상만으로는 굶주린 배를 채울 수 없고 다가오는 위협을 막을 수 없죠. 우리 라이라 왕국은 아르테니아와 동맹을 맺고 우리의 발전된 기술과 풍부한 물자를 제공하고 싶습니다. 당신들의 '개척 정신'을 높이 사기 때문입니다.,Left,diplomatic,,5,27,아르테니아_의회,negotiation,
27,기드온 발레리우스,다만 한 가지 조건이 있습니다. 우리의 지원은 '인간의 번영'을 위한 것입니다. 이 도시에 있는 '비-인간' 요소들을 정리하고 순수한 인간의 도시로 거듭난다면 우리는 당신들을 형제로서 받아들일 것입니다.,Left,cold,,4,28,아르테니아_의회,dark_proposal,
28,카엘,(리처드의 집무실에서 주먹으로 책상을 내리치며) 리처드! 저들의 혀에 놀아날 셈인가! 내 아버지는 저런 인간들을 위해 목숨을 바친 게 아니었어! 당장 저들을 쫓아내고 전쟁을 준비해야 한다!,Left,furious,slam,4,29,리처드_사무실,confrontation,slam
29,리처드 레오하트,진정하게 카엘. 전쟁은 최후의 수단이야. 대화로 풀 수 있을지도 몰라.,Right,uncertain,,3,30,리처드_사무실,confrontation,
30,카엘,대화? 저들은 우리를 벌레 보듯 하고 있는데! 자네 아버님이었다면... 아서 경이었다면 이렇게 망설이지 않았을 거다!,Left,bitter,,3,31,리처드_사무실,confrontation,
31,엘리아스 밴스,리처드. 자네는 아서 님이 아니네. 자네는 자네의 방식으로 답을 찾아야 해. 중요한 것은 '누구처럼' 행동하느냐가 아니라 '무엇을 위해' 행동하느냐일세. 아서 님과 그라크가 목숨으로 지켜낸 가치가 무엇이었는지 잊지 말게.,Right,wise,,5,32,리처드_사무실,advice,
32,리처드 레오하트,기드온 경 당신의 제안에 대한 답을 드리겠습니다. 아르테니아는 단 한 명의 가족도 포기하지 않을 것입니다. 오우거 드워프 엘프... 그리고 인간. 우리 모두가 아르테니아입니다. 당신의 제안은 거절하겠습니다.,Right,resolute,,4,33,아르테니아_의회,rejection,
33,기드온 발레리우스,(싸늘하게 미소 지으며) 유감이군요 리처드 경. 당신은 역사의 흐름을 거스르는 선택을 했습니다. 이상에 취해 현실을 보지 못하는 자의 말로는 비참할 뿐입니다.,Left,threatening,,4,34,아르테니아_의회,war_declaration,
34,기드온 발레리우스,이 무의미한 저항을 끝냅시다 리처드 경! 당신을 꺾고 이 도시를 '정화'하겠습니다!,Left,aggressive,flash,3,35,전투중_성벽,duel_theme,sword_clash
35,카엘,...리처드! 넌 혼자가 아니야!,Left,protective,zoom,2,36,전투중_성벽,sacrifice_theme,impact
36,카엘,...리처드... 네 아버지는... 위대한 분이셨지. 하지만... 넌... 좋은 친구야. 그걸로... 충분해...,Left,dying,fade,4,37,전투후_성벽,emotional_farewell,
37,리처드 레오하트,(아기 카인을 보며) 아들아. 나는 네게 완벽한 세상을 물려주지 못했다. 하지만 나는 네게 '희망'을 물려주마. 벽을 허물고 서로 다른 존재를 이해하고 손을 내밀 용기를. 언젠가 네가 이 아르테니아의 횃불을 들고 세상의 어둠을 밝히는 날이 올 것이다.,Right,hopeful,fade,6,-1,아르테니아_미래,hopeful_ending,baby_cry
